3682267523.6709337,
806563.5311396271,
485824.6783979561,
310463.3621670435,
230006.47557821355,
161068.3094999733,
112546.66016527885,
96278.36134532641,
76830.84395589764,
63160.76238773275,
50139.61729035181,
45241.37851515288,
42710.86875406795,
34984.06640004372,
32966.62373677415,
31236.295939682135,
25106.754480854528,
24492.979914836644,
21868.03375666436,
20344.60588040238,
18331.055868020565,
15236.136991232197,
14817.799146892556,
13471.767779886739,
10319.692111336899,
8507.978974311727
